,Player,Span,Mat,Inns,Ct,Max,Ct/Inn
1,PD Collingwood,2001-2011,197,197,108,3,0.548
2,JE Root,2013-2023,171,167,85,4,0.508
3,EJG Morgan,2009-2022,225,218,75,2,0.344
4,GA Hick,1991-2001,120,119,64,3,0.537
5,AJ Strauss,2003-2011,127,127,57,3,0.448
6,BA Stokes,2011-2023,114,111,55,3,0.495
7,IR Bell,2004-2015,161,160,54,3,0.337
8,JM Anderson,2002-2015,194,192,53,3,0.276
9,CR Woakes,2011-2023,122,118,50,4,0.423
10,MM Ali,2014-2023,138,135,48,3,0.355
11,JJ Roy,2015-2023,116,114,46,2,0.403
12,A Flintoff,1999-2009,138,137,46,3,0.335
13,ME Trescothick,2000-2006,123,116,45,3,0.387
14,GA Gooch,1976-1995,125,125,45,2,0.36
15,NV Knight,1996-2003,100,100,44,2,0.44
16,DI Gower,1978-1991,114,114,44,3,0.385
17,AU Rashid,2009-2023,135,132,43,3,0.325
18,GP Thorpe,1993-2002,82,81,42,3,0.518
19,N Hussain,1989-2003,88,88,40,2,0.454
20,KP Pietersen,2004-2013,134,133,39,2,0.293
21,AN Cook,2006-2014,92,91,36,2,0.395
22,IT Botham,1976-1992,116,116,36,2,0.31
23,RS Bopara,2007-2015,120,118,35,2,0.296
24,NH Fairbrother,1987-1999,75,75,33,3,0.44
25,JM Bairstow,2011-2023,107,87,33,2,0.379
26,AJ Lamb,1982-1992,122,122,31,2,0.254
27,GP Swann,2000-2013,79,78,29,3,0.371
28,AD Hales,2014-2019,70,68,27,2,0.397
29,DJ Willey,2015-2023,73,72,27,2,0.375
30,SCJ Broad,2006-2016,121,121,27,2,0.223
31,RA Smith,1988-1996,71,71,26,2,0.366
32,LE Plunkett,2005-2019,89,87,26,2,0.298
33,PAJ DeFreitas,1987-1997,103,103,26,2,0.252
34,DW Randall,1976-1985,49,49,25,2,0.51
35,MP Vaughan,2001-2007,86,85,25,3,0.294
36,D Gough,1994-2006,158,156,24,1,0.153
37,AF Giles,1997-2005,62,62,22,3,0.354
38,RGD Willis,1973-1984,64,64,22,2,0.343
39,MW Gatting,1977-1993,92,92,22,2,0.239
40,OA Shah,2001-2009,71,71,21,2,0.295
41,CC Lewis,1990-1998,53,53,20,2,0.377
42,TT Bresnan,2006-2015,85,84,20,2,0.238
43,CJ Jordan,2013-2022,35,35,19,2,0.542
44,JE Emburey,1980-1993,61,61,19,2,0.311
45,LJ Wright,2007-2014,50,50,18,2,0.36
46,CWJ Athey,1980-1988,31,31,16,3,0.516
47,VS Solanki,2000-2006,51,50,16,2,0.32
48,SW Billings,2015-2022,28,24,15,2,0.625
49,MA Atherton,1990-1998,54,54,15,2,0.277
50,ST Finn,2011-2017,69,67,15,2,0.223
51,JC Tredwell,2010-2015,45,44,14,2,0.318
52,MA Wood,2015-2023,66,65,14,2,0.215
53,IJL Trott,2009-2013,68,66,14,2,0.212
54,AJ Hollioake,1996-1999,35,35,13,3,0.371
55,JM Brearley,1977-1980,25,25,12,2,0.48
56,JWM Dalrymple,2006-2007,27,27,12,2,0.444
57,DA Reeve,1991-1996,29,29,12,3,0.413
58,NA Foster,1984-1989,48,48,12,2,0.25
59,C White,1994-2003,51,50,12,1,0.24
60,R Clarke,2003-2006,20,20,11,3,0.55
61,DJ Malan,2019-2023,30,30,11,2,0.366
62,AJ Stewart,1989-2003,170,32,11,2,0.343
63,DR Pringle,1982-1993,44,44,11,2,0.25
64,RDB Croft,1996-2001,50,49,11,1,0.224
65,JM Vince,2015-2023,25,25,10,2,0.4
66,MH Yardy,2006-2011,28,28,10,2,0.357
67,BC Broad,1987-1988,34,34,10,1,0.294
68,SJ Harmison,2002-2009,58,58,10,1,0.172
69,SM Curran,2018-2023,32,32,9,1,0.281
70,AR Caddick,1993-2003,54,53,9,2,0.169
71,MA Ealham,1996-2001,64,63,9,1,0.142
72,Z Crawley,2021-2023,8,7,8,3,1.142
73,GS Ballance,2013-2015,16,16,8,2,0.5
74,MR Ramprakash,1991-2001,18,18,8,2,0.444
75,RK Illingworth,1991-1996,25,25,8,2,0.32
76,W Larkins,1979-1991,25,25,8,1,0.32
77,LS Livingstone,2021-2023,25,25,8,1,0.32
78,CM Old,1973-1981,32,32,8,2,0.25
79,ID Blackwell,2002-2006,34,34,8,2,0.235
80,VJ Marks,1980-1988,34,34,8,1,0.235
81,AD Mullally,1996-2001,50,49,8,2,0.163
82,VJ Wells,1999-1999,9,9,7,3,0.777
83,JL Denly,2009-2020,16,16,7,2,0.437
84,PD Salt,2021-2023,19,18,7,2,0.388
85,AW Greig,1972-1977,22,21,7,3,0.333
86,JWA Taylor,2011-2015,27,27,7,3,0.259
87,CJ Tavare,1980-1984,29,29,7,2,0.241
88,RJW Topley,2015-2023,29,29,7,2,0.241
89,SR Patel,2008-2013,36,36,7,2,0.194
90,GC Small,1987-1992,53,53,7,2,0.132
91,B Wood,1972-1982,13,13,6,2,0.461
92,AD Brown,1996-2001,16,16,6,2,0.375
93,EC Joyce,2006-2007,17,17,6,2,0.352
94,BC Hollioake,1997-2002,20,20,6,1,0.3
95,JC Archer,2019-2023,21,21,6,1,0.285
96,JK Lever,1976-1982,22,22,6,2,0.272
97,DJ Capel,1987-1990,23,23,6,2,0.26
98,RJ Sidebottom,2001-2010,25,25,6,1,0.24
99,RT Robinson,1984-1988,26,26,6,2,0.23
100,DL Underwood,1973-1982,26,26,6,2,0.23
